,release,capture_dates_range,vda_id,ffe_elev_status,ffe_ft,ffe_lhsm_ft,ffe_foundation
61,2,2/3/2020-2/23/2020,FMB1800,elevated,8.838477306,7.897101025,Wall
62,2,2/3/2020-2/23/2020,FMB2235,elevated,7.675244444,5.897362963,Piles/Columns
63,2,2/3/2020-2/23/2020,FMB1801,elevated,7.673483948,6.363376932,Piles/Columns
64,2,2/3/2020-2/23/2020,FMB3021,elevated,16.30522088,15.25100402,Piles/Columns
65,2,2/3/2020-2/23/2020,FMB1802,not-elevated,0.0,,Slab-on-Grade
66,2,2/3/2020-2/23/2020,FMB2432,elevated,3.228961832,2.026015267,Crawlspace
67,2,2/3/2020-2/23/2020,FMB2193,elevated,10.76156584,,Wall
68,2,2/3/2020-2/23/2020,FMB2236,elevated,8.897239057,7.324882155,Piles/Columns
69,2,2/3/2020-2/23/2020,FMB1566,,,,
70,2,2/3/2020-2/23/2020,FMB2237,elevated,7.544774127,6.062176591,Piles/Columns
71,2,2/3/2020-2/23/2020,FMB2777,elevated,9.034396552,6.039568966,Wall
72,2,2/3/2020-2/23/2020,FMB2778,elevated,8.867448747,8.270159453,Wall
73,2,2/3/2020-2/23/2020,FMB2779,elevated,8.416761434,6.771025958,Piles/Columns
74,2,2/3/2020-2/23/2020,FMB2238,not-elevated,0.0,,Slab-on-Grade
75,2,2/3/2020-2/23/2020,FMB2239,elevated,8.65014245,7.225413105,Wall
76,2,2/3/2020-2/23/2020,FMB2240,elevated,9.375,,Wall
77,2,2/3/2020-2/23/2020,FMB2241,elevated,7.021203566,5.714933135,Piles/Columns
78,2,2/3/2020-2/23/2020,FMB3142,elevated,15.45625304,8.97459854,Piles/Columns
79,2,2/3/2020-2/23/2020,FMB2242,elevated,8.287776224,7.993286713,Piles/Columns
80,2,2/3/2020-2/23/2020,FMB2243,,,,
81,2,2/3/2020-2/23/2020,FMB1817,elevated,9.153846154,8.186153846,Piles/Columns
82,2,2/3/2020-2/23/2020,FMB2244,elevated,9.810717017,7.024015296,Piles/Columns
83,2,2/3/2020-2/23/2020,FMB1818,not-elevated,0.0,,Slab-on-Grade
